text	target	condition
Nwokolo kwuru na arịrịọ a bụ n’ ihi mkpamkpa ide mmiri kpara n’ ala anyị n’ oge gara aga , ma rụtụkwa aka otu e si tufuo ndụ ọtụtụ mmadụ ma tinyekwara ngwongwo ndị mmadụ ruru ijeri kwuru ijeri naịra n’ ihi ide mmiri .	PROPN VERB CCONJ VERB DET VERB ADP ADP NOUN NOUN NOUN VERB ADP NOUN PRON ADP NOUN VERB PART PUNCT SCONJ VERB NOUN ADV PRON VERB VERB NOUN DET NOUN CCONJ VERB NOUN DET NOUN VERB NUM ADP NUM NOUN ADP ADP NOUN NOUN PUNCT	ibo
Ọtụtụ obodo n’ Anambra West’ na ndị nọ n’ okpuru ọchịchị Ogbaru na steeti ahụ bụ ndị ide mmiri wakporo na nso nso a ebe ha nọ tufuo ọtụtụ ubi na ụlọ .	DET NOUN ADP PROPN PROPN CCONJ PRON VERB ADP NOUN NOUN PROPN ADP NOUN DET VERB PRON NOUN NOUN VERB ADP ADV ADV DET NOUN PRON VERB VERB DET NOUN CCONJ NOUN PUNCT	ibo
Onye ụkọchukwu a dụrụ ndị niile bi n’ ụdị ebe ahụ ọdụ ka ha nabata ndụmọdụ nke ndị ọkachamara n’ ihe gbasara ide mmiri .	NOUN NOUN DET VERB PRON DET VERB ADP ADJ NOUN DET NOUN ADP PRON VERB NOUN DET DET NOUN ADP NOUN ADP NOUN NOUN PUNCT	ibo
Ụmụakwụkwọ ibe ya chọpụtara nke a n’ ihe dịka elekere iri nke ụtụtụ ụbọchị Monde ọnwa Septemba dị na mkpụrụụbọchị iri , ka ha gara ịgwa ya ka ọ gbatulata ụda egwu na- akụ n’ ime ụlọ ya .	NOUN NOUN PRON VERB PRON DET ADP NOUN ADP NOUN NUM ADP NOUN NOUN PROPN NOUN PROPN VERB ADP NOUN NUM PUNCT SCONJ PRON VERB VERB PRON ADP PRON VERB NOUN NOUN AUX VERB ADP NOUN NOUN PRON PUNCT	ibo
Nwa akwụkwọ ọzọ nọ n’ afọ nke ikpeazu kwuru si ; “ kemgbe izuụka abụọ gara aga , Oteh bidoro na- akpa agwa n’ ụzọ edochaghị anya .	NOUN NOUN ADJ VERB ADP NOUN DET NOUN VERB VERB PUNCT PUNCT ADV NOUN NUM VERB PART PUNCT PROPN VERB AUX VERB NOUN ADP NOUN VERB NOUN PUNCT	ibo
O bidoro na- agara onwe ya . ”	PRON VERB AUX VERB NOUN PRON PUNCT PUNCT	ibo
Otu osila dị , ndị uweoji steeti Enugu , ngalaba Thinkers Corner’ eburula ozu ya bụ nwata akwụkwọ ma kpọrọkwa ụmụakwụkwọ ise bụ ndị ga- enyere ha aka ime nnyocha .	ADV VERB VERB PUNCT DET NOUN NOUN PROPN PUNCT NOUN PROPN PROPN VERB NOUN PRON VERB NOUN NOUN CCONJ VERB NOUN NUM VERB PRON AUX VERB PRON NOUN VERB NOUN PUNCT	ibo
OBODO juru nnọọ kpụmkpụm dịka ndị ntorobịa Ọmambala zukọrọ ma nuputakwa n’ ịgwè wee merùbe mmemme iri ji ọhụụ ha nke ahọ 2018 .	NOUN VERB ADV ADV ADP DET NOUN PROPN VERB CCONJ VERB ADP NOUN VERB VERB NOUN VERB NOUN ADJ PRON ADP NOUN NUM PUNCT	ibo
Ya bụ nnukwu mmemme bụ nke weere ọnọdụ n’ ogbe Igboezunu Agụleri dị n’ okpuru ọchịchị Anambra East’ nke steeti Anambra , ma bụrụkwa nke dọtara ọtụtụ ndị dị iche iche e ji okwu ha agba izù na steeti ahụ .	PRON VERB ADJ NOUN VERB DET VERB NOUN ADP NOUN PROPN PROPN VERB ADP NOUN NOUN PROPN PROPN ADP NOUN PROPN ADP CCONJ VERB PRON VERB DET PRON VERB ADJ ADJ PRON VERB NOUN PRON VERB NOUN ADP NOUN DET PUNCT	ibo
N’ okwu nke ya , onyeisi nchere oge n’ okpuru ọchịchị Anambra West n’ oge gara aga , bụ Maazị Tony- Collins Nwabụnwanne , kọwara mmemme ahụ dịka nke magburu onwe ya , tòó ezi mmekọrịta dị n’ etiti ndị ntorobịa okpuru ọchịchị niile ahụ , ma kpọọ oku ka a kwàlite nke ahụ iji mee ka o guzosie ike .	ADP NOUN DET PRON PUNCT NOUN NOUN NOUN ADP NOUN NOUN PROPN PROPN ADP NOUN VERB PART PUNCT VERB NOUN PROPN PROPN PROPN PUNCT VERB NOUN DET ADP PRON VERB NOUN PRON PUNCT VERB ADJ NOUN VERB ADP NOUN DET NOUN NOUN NOUN DET DET PUNCT CCONJ VERB NOUN ADP PRON VERB PRON DET VERB VERB ADP PRON VERB NOUN PUNCT	ibo
