textid	text	target
1	Gituwe n ' abasaga miliyoni 31 aho icyizere cyo kubaho kiri ku myaka 56 .	VERB CCONJ PUNCT VERB NOUN NUM PRON NOUN PRON VERB VERB ADP NOUN NUM PUNCT
2	Umuturage wacyo umwe abarirwa amadolari 1200 ku mwaka , ni ukuvuga hafi miliyon 1 , 2 Frw .	NOUN PRON PRON VERB NOUN NUM ADP NOUN PUNCT VERB VERB ADV NOUN NUM PUNCT NUM SYM PUNCT
3	Iki gihugu gihana imbibi n ' ibindi bitandatu birimo na Tanzania mu Majyaruguru .	PRON NOUN VERB NOUN CCONJ PUNCT PRON PRON VERB CCONJ PROPN ADP NOUN PUNCT
4	Gikungahaye ku mutungo kamere urimo amabuye y ' agaciro na gaz .	VERB ADP NOUN ADJ VERB NOUN PRON PUNCT NOUN CCONJ NOUN PUNCT
5	Kuba ari igihugu gikora ku nyanja , bigiha amahirwe y ' ubucuruzi bukorerwa mu Nyanja y ' Abahinde .	VERB VERB NOUN VERB ADP NOUN PUNCT VERB NOUN PRON PUNCT NOUN VERB ADP NOUN PRON PUNCT NOUN PUNCT
6	Nubwo ari igihugu gifite umutungo , cyakunze guhura n ' ibibazo by ' umutekano na politiki guhera mu 1975 ubwo cyabonaga ubwigenge .	SCONJ VERB NOUN VERB NOUN PUNCT VERB VERB CCONJ PUNCT NOUN PRON PUNCT NOUN CCONJ NOUN VERB ADP NUM PRON VERB NOUN PUNCT
7	Umutwe wa Renamo utavuga rumwe n ' ishyaka Frelimo riri ku butegetsi wakunze gushoza intambara kenshi , gusa Leta ikihagararaho .	NOUN PRON PROPN VERB PRON CCONJ PUNCT NOUN PROPN VERB ADP NOUN VERB VERB NOUN ADJ PUNCT SCONJ NOUN VERB PUNCT
8	Kuri ubu impande zombi ziri mu gahenge nyuma yo gusinya amasezerano y ' amahoro mu 2019 .	ADP ADV NOUN PRON VERB ADP NOUN ADV PRON VERB NOUN PRON PUNCT NOUN ADP NUM PUNCT
9	Nubwo umwanzi w ' igihe kirekire Mozambique yamuciye intege , mu 2017 havutse undi ufite ingufu zidasanzwe .	SCONJ NOUN PRON PUNCT NOUN ADJ PROPN VERB NOUN PUNCT ADP NUM VERB PRON VERB NOUN ADJ PUNCT
10	Mu ntara ya Cabo Delgado hadutse umutwe w ' iterabwoba wiyise al shabab , nubwo nta mikoranire ufitanye na Al Shabab ya nyayo .	ADP NOUN PRON PROPN PROPN VERB NOUN PRON PUNCT NOUN VERB PROPN PROPN PUNCT SCONJ PART NOUN VERB CCONJ PROPN PROPN PRON PRON PUNCT
11	Uwo mutwe watangiye ari inyeshyamba zisanzwe ariko uko iminsi yicuma wagiye ugirana umubano n ' imitwe y ' iterabwoba mpuzamahanga nka IS yo muri Syria na Iraq .	PRON NOUN VERB VERB NOUN VERB SCONJ PRON NOUN VERB VERB VERB NOUN CCONJ PUNCT NOUN PRON PUNCT NOUN ADJ PRON PROPN PRON ADP PROPN CCONJ PROPN PUNCT
12	Ibitero uwo mutwe wagiye ugaba mu Majyaruguru ya Mozambique , wagiye wica abaturage bunyamaswa , ubaciye imitwe nk ' uko IS ibigenza .	NOUN PRON NOUN VERB VERB ADP NOUN PRON PROPN PUNCT VERB VERB NOUN NOUN PUNCT VERB NOUN CCONJ PUNCT PRON PROPN VERB PUNCT
