textid	text	target
1	Bosso yarohwa mitambo mitatu yakatevedzana .	NOUN VERB NOUN NUM VERB PUNCT
2	Asi hakuna nhamo dzakadai kuzvikwata zviri kutungamira zvinoti FC Platinum ne Caps United mushure mekunge zvakaita mangange 0 - 0 mu National Sports Stadium ne Mugovera .	SCONJ AUX NOUN DET VERB AUX VERB ADV PROPN PROPN CCONJ PROPN PROPN ADV AUX VERB NOUN NUM PUNCT NUM ADP PROPN PROPN NOUN ADP NOUN PUNCT
3	Makepekepe ingadai yakakunda mu mutambo uyu dai Leonard Tsipa asina kutadza mukana waakawana ari ega pasina mubati we pagedhe .	PROPN VERB VERB ADP NOUN DET SCONJ PROPN PROPN AUX VERB NOUN VERB AUX ADJ ADV NOUN ADP NOUN PUNCT
4	Mutsigiri we chikwata ichi va Ignatius Zambezi vari kuchema ne mikana yakatadzwa kunyanya na Tsipa .	NOUN ADP NOUN DET NOUN PROPN PROPN AUX VERB ADP NOUN ADJ ADV ADV PROPN PUNCT
5	Va Charles Munodawafa vari kuchema zvekare ne mutambi mumwe cheteyo .	NOUN PROPN PROPN AUX VERB ADV ADV NOUN ADJ ADJ PUNCT
6	Asi Va Zambezi vanoti vakafadzwa zvikuru ne matambiro e FC Platinum vachiti ivo chikwata ichi chinokodzera kuve pachiri pa makundano aya .	SCONJ NOUN PROPN VERB VERB ADV ADP NOUN ADP PROPN PROPN VERB PRON NOUN DET VERB AUX VERB ADP NOUN DET PUNCT
7	Izvi zvasiya Kugona Kunenge Kudada iine mapoinzi makumi matatu ne manomwe , maviri pamusoro pe Caps United	DET VERB VERB AUX VERB ADV NOUN NUM NUM CCONJ NUM PUNCT NUM ADP ADP PROPN PROPN
8	Mimwe mitambo yakapera yakadai .	DET NOUN VERB ADV PUNCT
9	ZPC Kariba 0 - 0 Ngezi Platinum Stars	PROPN PROPN NUM PUNCT NUM PROPN PROPN NOUN
10	Chicken Inn 0 - 0 Chapungu	PROPN PROPN NUM PUNCT NUM PROPN
11	Bulawayo City 0 - 0 Hwange	PROPN NOUN NUM PUNCT NUM PROPN
12	How Mine 2 - 1 Harare City	PROPN PROPN NUM PUNCT NUM PROPN NOUN
13	Mutare City 3 - 3 Tsholotsho	PROPN NOUN NUM PUNCT NUM PROPN
