	model	target_class	precision	recall	f1
0	../cosc426/Dione-Midterm-Replication-/XLM_fon	SYM	0.0	0.0	0.0
1	../cosc426/Dione-Midterm-Replication-/XLM_fon	VERB	0.2222222222222222	0.08980454305335446	0.12791572610985705
2	../cosc426/Dione-Midterm-Replication-/XLM_fon	NUM	0.8416666666666667	0.7426470588235294	0.7890625
3	../cosc426/Dione-Midterm-Replication-/XLM_fon	PUNCT	0.9554024655547498	0.9996206373292867	0.9770114942528736
4	../cosc426/Dione-Midterm-Replication-/XLM_fon	NOUN	0.3474462365591398	0.5818795723128869	0.43509362507889754
5	../cosc426/Dione-Midterm-Replication-/XLM_fon	ADP	0.345532319391635	0.6508504923903312	0.4514126047811239
6	../cosc426/Dione-Midterm-Replication-/XLM_fon	PROPN	0.44928	0.9564032697547684	0.6113651208360549
7	../cosc426/Dione-Midterm-Replication-/XLM_fon	PRON	0.2982456140350877	0.008173076923076924	0.015910154422087038
8	../cosc426/Dione-Midterm-Replication-/XLM_fon	DET	0.0	0.0	0.0
9	../cosc426/Dione-Midterm-Replication-/XLM_fon	CCONJ	0.0	0.0	0.0
10	../cosc426/Dione-Midterm-Replication-/XLM_fon	ADJ	0.0	0.0	0.0
11	../cosc426/Dione-Midterm-Replication-/XLM_fon	ADV	0.044662309368191724	0.1722689075630252	0.07093425605536333
12	../cosc426/Dione-Midterm-Replication-/XLM_fon	SCONJ	0.0	0.0	0.0
13	../cosc426/Dione-Midterm-Replication-/XLM_fon	PART	0.0	0.0	0.0
14	../cosc426/Dione-Midterm-Replication-/XLM_fon	AUX	0.0	0.0	0.0
15	../cosc426/Dione-Midterm-Replication-/XLM_fon	X	0.0	0.0	0.0
