	model	target_class	precision	recall	f1
0	../cosc426/Dione-Midterm-Replication-/XLM_all	NOUN	0.8986191860465116	0.6829605081469208	0.7760866154087557
1	../cosc426/Dione-Midterm-Replication-/XLM_all	ADP	0.7560975609756098	0.8266666666666667	0.7898089171974523
2	../cosc426/Dione-Midterm-Replication-/XLM_all	PROPN	0.8677014042867701	0.9575856443719413	0.9104303993796045
3	../cosc426/Dione-Midterm-Replication-/XLM_all	VERB	0.8892323544564658	0.7647319450598139	0.8222963315864698
4	../cosc426/Dione-Midterm-Replication-/XLM_all	CCONJ	0.6537931034482759	0.8479427549194991	0.7383177570093458
5	../cosc426/Dione-Midterm-Replication-/XLM_all	NUM	0.7900677200902935	0.8177570093457944	0.8036739380022963
6	../cosc426/Dione-Midterm-Replication-/XLM_all	PUNCT	0.992399565689468	0.9978165938864629	0.995100707675558
7	../cosc426/Dione-Midterm-Replication-/XLM_all	PRON	0.5889714509190458	0.9453860640301318	0.7257831325301205
8	../cosc426/Dione-Midterm-Replication-/XLM_all	SCONJ	0.2222222222222222	0.004956629491945477	0.009696969696969697
9	../cosc426/Dione-Midterm-Replication-/XLM_all	AUX	0.3710788064269319	0.9738955823293173	0.5373961218836565
10	../cosc426/Dione-Midterm-Replication-/XLM_all	DET	0.5362953692115144	0.7337328767123288	0.6196673897324656
11	../cosc426/Dione-Midterm-Replication-/XLM_all	PART	0.0	0.0	0.0
12	../cosc426/Dione-Midterm-Replication-/XLM_all	ADV	0.07971014492753623	0.3384615384615385	0.12903225806451613
13	../cosc426/Dione-Midterm-Replication-/XLM_all	ADJ	0.8328690807799443	0.6281512605042017	0.7161676646706587
14	../cosc426/Dione-Midterm-Replication-/XLM_all	SYM	0.0	0.0	0.0
15	../cosc426/Dione-Midterm-Replication-/XLM_all	INTJ	0.0	0.0	0.0
