Model,Train_Lang,Test_Lang,Target_Class,Precision,Recall,F1
XLM-R,fon,ibo,NOUN,0.4633649932157395,0.4715548191107429,0.4674240350396934
XLM-R,fon,ibo,ADP,0.2381314090391188,0.44,0.3090192212912765
XLM-R,fon,ibo,PROPN,0.6520750426378624,0.935562805872757,0.7685092127303182
XLM-R,fon,ibo,VERB,0.202658939832964,0.2634027470093044,0.2290723437048454
XLM-R,fon,ibo,CCONJ,0.0,0.0,0.0
XLM-R,fon,ibo,NUM,0.8026315789473685,0.1425233644859813,0.242063492063492
XLM-R,fon,ibo,PUNCT,0.979635584137192,0.9978165938864628,0.9886425094645754
XLM-R,fon,ibo,PRON,0.381294964028777,0.13308223477715,0.1973010702652396
XLM-R,fon,ibo,SCONJ,0.0,0.0,0.0
XLM-R,fon,ibo,AUX,0.0,0.0,0.0
XLM-R,fon,ibo,DET,0.0227272727272727,0.0017123287671232,0.0031847133757961
XLM-R,fon,ibo,PART,0.0,0.0,0.0
XLM-R,fon,ibo,ADV,0.0087232355273592,0.0564102564102564,0.0151098901098901
XLM-R,fon,ibo,ADJ,0.0133333333333333,0.0063025210084033,0.0085592011412268
XLM-R,fon,ibo,SYM,0.0,0.0,0.0
XLM-R,fon,ibo,INTJ,0.0,0.0,0.0
XLM-R,fon,kin,SYM,0.0,0.0,0.0
XLM-R,fon,kin,VERB,0.2222222222222222,0.0898045430533544,0.127915726109857
XLM-R,fon,kin,NUM,0.8416666666666667,0.7426470588235294,0.7890625
XLM-R,fon,kin,PUNCT,0.9554024655547498,0.9996206373292869,0.9770114942528736
XLM-R,fon,kin,NOUN,0.3474462365591398,0.5818795723128869,0.4350936250788975
XLM-R,fon,kin,ADP,0.345532319391635,0.6508504923903312,0.4514126047811239
XLM-R,fon,kin,PROPN,0.44928,0.9564032697547684,0.6113651208360549
XLM-R,fon,kin,PRON,0.2982456140350877,0.0081730769230769,0.015910154422087
XLM-R,fon,kin,DET,0.0,0.0,0.0
XLM-R,fon,kin,CCONJ,0.0,0.0,0.0
XLM-R,fon,kin,ADJ,0.0,0.0,0.0
XLM-R,fon,kin,ADV,0.0446623093681917,0.1722689075630252,0.0709342560553633
XLM-R,fon,kin,SCONJ,0.0,0.0,0.0
XLM-R,fon,kin,PART,0.0,0.0,0.0
XLM-R,fon,kin,AUX,0.0,0.0,0.0
XLM-R,fon,kin,X,0.0,0.0,0.0
XLM-R,fon,sna,NOUN,0.3583556747095621,0.6380270485282419,0.4589413447782546
XLM-R,fon,sna,ADP,0.5059116365899191,0.3880668257756563,0.4392220421393841
XLM-R,fon,sna,PROPN,0.6065266316579144,0.928776565192418,0.7338325391422736
XLM-R,fon,sna,ADJ,0.0833333333333333,0.0019305019305019,0.0037735849056603
XLM-R,fon,sna,VERB,0.1411087113030957,0.0795131845841785,0.101712506486767
XLM-R,fon,sna,CCONJ,0.0,0.0,0.0
XLM-R,fon,sna,PUNCT,0.9524886877828054,0.9960567823343848,0.9737856592135696
XLM-R,fon,sna,ADV,0.0431654676258992,0.0865979381443299,0.0576131687242798
XLM-R,fon,sna,DET,0.5806451612903226,0.0218181818181818,0.0420560747663551
XLM-R,fon,sna,SYM,0.0,0.0,0.0
XLM-R,fon,sna,AUX,0.0,0.0,0.0
XLM-R,fon,sna,SCONJ,0.0,0.0,0.0
XLM-R,fon,sna,PRON,0.0061538461538461,0.0081632653061224,0.0070175438596491
XLM-R,fon,sna,NUM,0.3842105263157894,0.28515625,0.3273542600896861
XLM-R,fon,sna,PART,0.0,0.0,0.0
XLM-R,ibo,ibo,NOUN,0.8299365185432677,0.6859983429991715,0.7511339582703357
XLM-R,ibo,ibo,ADP,0.7936507936507936,0.6666666666666666,0.7246376811594203
XLM-R,ibo,ibo,PROPN,0.877845220030349,0.9437194127243068,0.9095911949685536
XLM-R,ibo,ibo,VERB,0.8527370855821126,0.7350465219317678,0.7895300416418798
XLM-R,ibo,ibo,CCONJ,0.4362969752520623,0.851520572450805,0.576969696969697
XLM-R,ibo,ibo,NUM,0.6666666666666666,0.3364485981308411,0.4472049689440994
XLM-R,ibo,ibo,PUNCT,0.9929386203150462,0.9978165938864628,0.9953716308194936
XLM-R,ibo,ibo,PRON,0.5567751703255109,0.9234149403640928,0.6946871310507674
XLM-R,ibo,ibo,SCONJ,0.4,0.0024783147459727,0.0049261083743842
XLM-R,ibo,ibo,AUX,0.3667168674698795,0.9779116465863452,0.5334063526834611
XLM-R,ibo,ibo,DET,0.5167990226023214,0.7243150684931506,0.6032085561497326
XLM-R,ibo,ibo,PART,0.0,0.0,0.0
XLM-R,ibo,ibo,ADV,0.022875816993464,0.0717948717948717,0.0346964064436183
XLM-R,ibo,ibo,ADJ,0.9809523809523808,0.4327731092436975,0.6005830903790087
XLM-R,ibo,ibo,SYM,0.0,0.0,0.0
XLM-R,ibo,ibo,INTJ,0.0,0.0,0.0
XLM-R,kin,kin,SYM,0.0,0.0,0.0
XLM-R,kin,kin,VERB,0.9183934510104886,0.948230322239831,0.9330734243014944
XLM-R,kin,kin,NUM,0.9645390070921984,1.0,0.9819494584837544
